graph_name,mean_fitness_value,std_fitness_value,best_fitness_value,graph_order,graph_size,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense,pli_vertex,pli_edge,pli_density,pli_TRD_number,pli_time_miliseconds,pli_status,gap_relative(%)
dwt__234.txt,151.6,1.3498971154210984,154,234,300,2644777,no,none,yes,0.0110047,False,234,300,0.011,148.0,5037.0,OPTIMAL,4.054054054054054
ck104.txt,31.8,0.9189365834726816,33,104,444,3075444,no,none,yes,0.0828977,False,104,444,0.0829,30.0,121620.0,OPTIMAL,10.0
nos1.txt,159.6,0.9660917830792964,161,237,390,8406052,no,none,yes,0.0139455,False,237,390,0.01395,159.0,302688.0,BEST FOUND,1.257861635220126
pde225.txt,134.2,2.299758441421381,137,225,420,10103993,no,none,yes,0.0166667,False,225,420,0.01667,132.0,301626.0,BEST FOUND,3.787878787878788
rdb200l.txt,106.1,2.0789954839350235,109,200,460,2242190,no,none,yes,0.0231156,False,200,460,0.02312,101.0,301485.0,BEST FOUND,7.920792079207921
rdb200.txt,105.5,3.1710495984067424,110,200,460,7479013,no,none,yes,0.0231156,False,200,460,0.02312,101.0,301434.0,BEST FOUND,8.91089108910891
dwt__162.txt,64.8,1.813529401164727,69,162,510,5562743,no,none,yes,0.0391074,False,162,510,0.03911,59.0,27288.0,OPTIMAL,16.94915254237288
will199.txt,79.0,1.49071198499986,82,199,660,7712117,no,none,yes,0.0335008,False,199,660,0.0335,70.0,301218.0,BEST FOUND,17.142857142857142
saylr1.txt,143.0,1.4907119849998625,145,238,445,2958246,no,none,yes,0.0157785,False,238,445,0.01578,144.0,301604.0,BEST FOUND,0.6944444444444444
can__144.txt,34.2,1.0327955589886444,36,144,576,4689972,no,none,yes,0.0559441,False,144,576,0.05594,30.0,636.0,OPTIMAL,20.0
lop163.txt,55.7,1.56702123647242,58,163,598,5113444,no,none,yes,0.0452927,False,163,598,0.04529,47.0,75137.0,OPTIMAL,23.404255319148938
can__161.txt,51.8,0.4216370213557833,52,161,608,4939327,no,none,yes,0.047205,False,161,608,0.0472,50.0,301543.0,BEST FOUND,4.0
dwt__198.txt,79.3,1.1595018087284057,81,198,597,9869028,no,none,yes,0.0306107,False,198,597,0.03061,74.0,16573.0,OPTIMAL,9.45945945945946
odep400a.txt,398.0,0.0,398,400,402,13489711,no,none,yes,0.00503759,False,400,402,0.00504,398.0,301666.0,BEST FOUND,0.0
gre__185.txt,78.6,2.221110833194357,82,185,650,7408067,no,none,yes,0.0381904,False,185,650,0.03819,68.0,301226.0,BEST FOUND,20.588235294117645
can__187.txt,65.3,1.4181364924121764,67,187,652,7969312,no,none,yes,0.0374907,False,187,652,0.03749,62.0,301520.0,BEST FOUND,8.064516129032258
dwt__245.txt,127.0,1.763834207376393,131,245,608,9487524,no,none,yes,0.0203413,False,245,608,0.02034,119.0,33611.0,OPTIMAL,10.084033613445378
gre_216a.txt,88.2,1.8135294011647256,91,216,660,8083203,no,none,yes,0.0284238,False,216,660,0.02842,84.0,301012.0,BEST FOUND,8.333333333333332
gre_216b.txt,89.1,1.1005049346146123,91,216,660,7785336,no,none,yes,0.0284238,False,216,660,0.02842,84.0,300983.0,BEST FOUND,8.333333333333332
fs_183_1.txt,37.4,3.1340424729448424,46,183,701,5897136,no,none,yes,0.0420945,False,183,701,0.04209,36.0,98.0,OPTIMAL,27.77777777777778
fs_183_3.txt,36.6,0.9660917830792964,38,183,701,5842195,no,none,yes,0.0420945,False,183,701,0.04209,36.0,95.0,OPTIMAL,5.555555555555555
fs_183_4.txt,36.2,0.6324555320336754,38,183,701,5835348,no,none,yes,0.0420945,False,183,701,0.04209,36.0,94.0,OPTIMAL,5.555555555555555
fs_183_6.txt,36.6,0.9660917830792954,38,183,701,5861145,no,none,yes,0.0420945,False,183,701,0.04209,36.0,94.0,OPTIMAL,5.555555555555555
dwt__221.txt,83.5,1.35400640077266,86,221,704,7909484,no,none,yes,0.0289593,False,221,704,0.02896,75.0,302539.0,BEST FOUND,14.666666666666666
bcspwr04.txt,143.5,1.0801234497346437,145,274,669,9160813,no,none,yes,0.0178872,False,274,669,0.01789,140.0,271.0,OPTIMAL,3.571428571428571
